PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
3.97372,5.2478,1.320626516,473.694,0.47784,0.299558035,20.03255027,0.850685117,-4.055209569,-4.41516882
3.91943,4.9438,1.261356881,421.057,0.46968,0.291739392,20.02432374,0.780981214,-4.012015473,-4.398262733
4.08689,4.75983,1.164658212,427.97,0.50594,0.326311852,26.06289622,3.022713941,-4.426997346,-4.83382707
5.06381,7.08528,1.399199417,939.267,0.5264,0.473057982,21.82952171,3.864537852,-3.428846923,-4.253127262
13.69556,13.96867,1.019941499,1519.32,0.68178,0.791265877,25.21239339,2.461661818,-3.278979887,-3.719941963
7.69493,9.54888,1.240931366,1932.37,0.6774,0.781542942,17.82928194,3.114610625,-4.200590579,-4.336685394
7.73922,9.60606,1.241218107,1897.81,0.677,0.782209528,17.4144678,3.058778001,-4.054812349,-4.282235972
4.20115,4.7399,1.128238697,246.312,0.39348,0.22381616,28.01941684,1.457346254,-3.550129908,-4.408280024
7.17951,9.42302,1.3124879,4347,0.78436,1.410151306,13.38736122,2.221327882,-3.596941902,-3.613416311
4.68679,4.84155,1.033020468,444.782,0.46642,0.332092076,31.19066357,2.477421183,-5.460994289,-5.770638603
4.57423,4.8139,1.052395704,437.041,0.4677,0.332951285,31.98055074,2.602134497,-5.33142246,-5.840468421
4.26622,4.77305,1.118800718,588.744,0.4922,0.367895476,33.50782427,3.303195961,-5.126636031,-5.388869302
19.54,37.53,1.920675537,6207.17,0.93,5.8125,8.585340112,1.070269835,-3.21297154,-3.233668256
3.64311,5.44587,1.494840946,266.702,0.5475,0.418875806,28.06161081,3.984757278,-4.644136474,-5.263820732
3.91316,4.51878,1.154764947,251.96,0.47356,0.391397778,29.05815782,2.324146527,-4.294698601,-5.304066991
4.98141,8.08398,1.622829681,1687.67,0.61126,0.667867078,22.09599973,4.108602134,-4.180109062,-4.372157189
4.88927,8.10638,1.657993934,1730.84,0.60644,0.671822431,25.26988856,4.491945451,-4.30021778,-4.395999853
4.97897,7.89565,1.585799874,1727.98,0.60914,0.671399552,21.34263351,4.256217824,-4.268769291,-4.526376418
6.22752,7.54994,1.212350984,2625.77,0.71052,0.886758897,15.40761564,3.58826054,-3.545017729,-3.821990501
6.80894,7.00959,1.02946861,793.947,0.59612,0.35115664,18.15924061,1.830792693,-3.508062361,-3.980149028
4.28231,5.87217,1.371262239,2218.57,0.65652,0.687788949,21.47205751,6.753855941,-3.692031213,-4.198417939
4.06042,6.33732,1.560754799,1600.82,0.62358,0.526414425,23.4730537,4.800143944,-3.999108875,-4.230479722
6.45442,6.88379,1.066523406,867.384,0.5708,0.352076189,30.36410496,4.89929403,-3.862562429,-4.796462087
10.76844,25.42698,2.361250098,2429.07,0.83658,1.279013946,15.26040761,1.15569377,-3.740637693,-3.772644442
5.68454,5.83174,1.025894795,345.079,0.41258,0.271671923,21.65227565,1.094368296,-3.384747502,-4.296418113
4.38571,5.73292,1.307181733,719.362,0.52164,0.425425719,25.35817338,3.755742119,-4.205702117,-5.045882578
5.25081,7.26399,1.383403703,1762.91,0.59932,0.621823803,24.07474846,5.265411863,-4.198135746,-4.306639918
5.5873,6.57451,1.176688204,1582.38,0.60734,0.646685648,21.26296375,5.946561749,-4.1762165,-4.895962707
6.93274,11.69294,1.686626067,2124.14,0.69224,0.973746104,27.54942519,4.353966939,-4.882667205,-4.520368753
7.39815,11.84006,1.60040821,2048.29,0.70204,0.953172308,27.59237097,4.006715283,-4.822624975,-4.605793632
7.36492,11.84801,1.608708581,2067.8,0.70488,0.961580699,27.7198329,4.078232887,-4.777157563,-4.540878455
6.70311,11.79938,1.760284405,2122.86,0.70388,0.958588456,26.19382886,3.884618149,-4.855472995,-4.545479274
7.13512,11.94166,1.673645293,2232.87,0.71434,1.007329985,25.20752809,3.779806607,-4.736746341,-4.523263412
6.91892,12.04076,1.740265822,2134.58,0.70596,0.967361352,27.08522406,3.846067208,-4.830090702,-4.525874505
4.52481,10.64181,2.351879968,2211.32,0.67086,0.750713382,20.97199709,4.464951113,-3.974129201,-4.209252708
7.28684,8.54501,1.172663322,1113.55,0.59522,0.600661998,21.50914601,3.680797363,-4.195383572,-4.40876654
4.40002,8.03493,1.826112154,573.552,0.48206,0.419649697,37.28972208,2.664235315,-4.685251411,-4.426012106
4.27216,9.42427,2.205973091,1474.96,0.61826,0.629302369,25.23771253,3.341872476,-4.526658569,-4.436522798
4.5072,7.01648,1.556727015,804.887,0.5435,0.512571439,19.96102384,2.179281595,-4.05870343,-4.32340114
10.50387,10.88001,1.035809659,981.784,0.59548,0.498831414,23.49976008,2.44640147,-3.239301067,-3.883577867
5.9875,6.82031,1.139091441,825.578,0.5077,0.432210171,19.85870558,2.911935072,-3.642643167,-4.441507039
6.12106,6.83308,1.11632299,793.258,0.50646,0.425850718,20.61262471,3.161947412,-3.687763352,-4.537886651
8.80996,17.2872,1.962233654,4741.45,0.84252,2.197547673,12.24127284,1.383737527,-3.646154534,-3.636289842
5.62993,8.06476,1.432479622,2869.72,0.70336,0.938611779,37.34792273,8.170953617,-5.417219623,-4.7425741
8.65235,9.6188,1.111697978,2701.78,0.67854,0.903923342,20.40933331,4.788631086,-4.036071646,-4.115286208
3.94175,6.41608,1.627723727,692.797,0.58084,0.345557089,20.45371555,2.394564078,-4.290110772,-4.660555329
4.3641,6.81111,1.560713549,1052.63,0.61502,0.409800237,18.3831581,2.128898981,-4.00678695,-4.279415096
4.2994,7.85983,1.828122529,896.656,0.6021,0.572817566,21.2643136,3.906818217,-4.646095861,-4.65743626
7.33698,11.74827,1.601240565,1972.76,0.71176,0.738493463,15.22403224,1.352444792,-3.76564397,-3.810958104
11.51164,12.50781,1.086535889,1917.32,0.73012,0.811359838,21.89859831,1.337689886,-4.183550746,-3.940348086
11.17828,12.20276,1.091649162,1798.43,0.71436,0.764480078,21.75890632,1.28352102,-4.106052124,-3.899597751
6.87343,12.16451,1.769787428,2800.76,0.71512,0.923003453,18.96250524,3.871069705,-3.986821701,-4.052141301
