PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
10.50387,10.88001,1.035809659,981.784,0.59548,0.498831414,13.34595985,0.358149958,-2.920466588,-3.165212
5.9875,6.82031,1.139091441,825.578,0.5077,0.432210171,12.07278905,0.308422723,-3.487014553,-3.68769747
6.12106,6.83308,1.11632299,793.258,0.50646,0.425850718,12.38500129,0.342778458,-3.488939695,-3.652345534
8.80996,17.2872,1.962233654,4741.45,0.84252,2.197547673,5.56501517,0.329235582,-3.240266582,-3.240492253
5.62993,8.06476,1.432479622,2869.72,0.70336,0.938611779,10.87851194,0.445211595,-3.758501078,-3.760374893
8.65235,9.6188,1.111697978,2701.78,0.67854,0.903923342,11.09795769,0.473830072,-3.658345379,-3.651319374
3.94175,6.41608,1.627723727,692.797,0.58084,0.345557089,12.22400163,0.211350445,-4.207673297,-4.16583405
4.3641,6.81111,1.560713549,1052.63,0.61502,0.409800237,10.88757894,0.20445098,-3.903189291,-3.976078767
4.2994,7.85983,1.828122529,896.656,0.6021,0.572817566,12.82300198,0.481040642,-4.464684077,-4.385102088
7.33698,11.74827,1.601240565,1972.76,0.71176,0.738493463,8.003694156,0.212795533,-3.442879043,-3.459515344
11.51164,12.50781,1.086535889,1917.32,0.73012,0.811359838,9.981660609,0.229287206,-3.462355958,-3.499204043
11.17828,12.20276,1.091649162,1798.43,0.71436,0.764480078,10.01837737,0.216001526,-3.455695265,-3.486219466
6.87343,12.16451,1.769787428,2800.76,0.71512,0.923003453,9.273528598,0.318463347,-3.576486518,-3.58851014
5.4451,6.31092,1.159009017,645.76,0.49582,0.445232665,11.18273916,0.132877658,-4.02988859,-4.076003068
4.93668,5.48228,1.11051962,785.597,0.53086,0.447990683,15.21295441,0.597416913,-3.237197449,-3.395571862
4.89759,5.65614,1.154882299,913.914,0.55704,0.500444708,14.23525063,0.516830753,-3.21947336,-3.406714752
4.51467,5.44142,1.205275247,500.175,0.5001,0.275040148,15.68024269,0.401426243,-3.167757809,-3.379034842
4.88169,5.99991,1.229064115,1468.41,0.61502,0.556765614,11.56802312,0.36658911,-4.234733413,-4.28315981
4.20229,5.16583,1.229289268,602.813,0.51252,0.439463575,15.83777666,0.464716577,-4.106690515,-4.445315936
5.24025,7.13491,1.361559086,1971.32,0.64884,0.674984864,10.7171624,0.270412252,-3.809855302,-3.759177777
6.30914,7.54763,1.196300922,1344.47,0.61346,0.603359758,10.28657776,0.269147648,-3.394078163,-3.416756649
5.41267,6.44764,1.19121247,2206.57,0.63174,0.687438315,11.36737338,0.511278063,-3.629738912,-3.659791996
5.21845,6.19215,1.186587972,1780.51,0.62202,0.648383939,12.40215696,0.592294549,-3.549909619,-3.642867357
5.72948,7.70901,1.345499068,1552.97,0.59466,0.591760374,11.51212782,0.403331819,-3.694597208,-3.739621005
6.19226,7.11646,1.149250839,1324.79,0.57908,0.561684627,11.68290158,0.453729868,-3.211321558,-3.323870302
5.75134,6.79615,1.181663751,1173.51,0.5675,0.512350583,11.10747018,0.219727872,-3.466088995,-3.426216545
5.81846,6.76349,1.162419266,1181.72,0.56678,0.509076211,11.36368975,0.236289174,-3.530029608,-3.585192755
9.30306,11.01739,1.184275926,1290,0.65364,0.63489165,9.55100339,0.152074442,-3.52334484,-3.483549637
8.81485,9.37681,1.06375151,1034.7,0.62004,0.60803138,7.787610733,0.079661228,-3.317800019,-3.404386148
11.54677,12.36039,1.070462995,1097.12,0.6806,0.492681444,8.198229881,0.158656987,-2.94280485,-3.146530238
5.30289,5.4946,1.036151985,1395.72,0.6127,0.661818158,14.5131172,0.761296837,-3.50466186,-3.782664831
4.59142,5.47244,1.191883992,1247.91,0.55474,0.538467512,13.6164971,0.506206233,-3.882987204,-3.962466479
9.13066,13.54985,1.483994585,3063.99,0.77418,1.229087353,7.425335182,0.260742829,-3.528561219,-3.473641823
5.06628,5.31376,1.048848465,500.296,0.43594,0.290756538,14.5404445,0.33547044,-3.652507212,-3.715668048
8.54605,20.14565,2.357305422,5410.53,0.8642,2.526442575,4.918657527,0.329606057,-3.182610921,-3.151765714
7.46421,8.75902,1.173469128,2449.21,0.68932,0.89469442,10.71832301,0.424962923,-3.678502727,-3.711973525
4.41775,4.76295,1.078139324,485.717,0.47632,0.362347285,21.30477992,2.023948898,-2.495663897,-2.995975338
31.49051,33.05863,1.04979659,2906.63,0.83208,1.799305863,7.76024629,0.314339099,-3.235309986,-3.191709432
4.56338,5.47883,1.200607883,348.291,0.45418,0.217427521,10.79251489,0.065988666,-3.614005529,-3.613763559
4.1969,5.64744,1.345621768,1024.7,0.56064,0.516404768,13.85906567,0.495991094,-4.316827871,-4.398756606
10.45745,10.54661,1.008525979,1438.1,0.66182,0.75013488,9.032191109,0.194504699,-3.419453453,-3.485321859
10.23297,10.35764,1.012183169,1390.52,0.65554,0.733276882,9.324788008,0.19848788,-3.428074277,-3.552131775
10.09526,10.20776,1.011143844,1062.17,0.6163,0.608595185,7.962640618,0.116880612,-3.289995107,-3.288807933
9.95473,10.07029,1.011608552,1045.07,0.61098,0.598126267,7.930037388,0.115316451,-3.245129831,-3.401282415
10.19883,10.32219,1.012095505,1419.53,0.65654,0.734888688,9.242828765,0.200162698,-3.455645072,-3.469824323
