Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
1.306,0.166,6.26863,10.02209,2212.16,0.71232,0.877560197,20.19604951,0.088135397
1.22,0.25,6.30763,7.09807,1135.13,0.59022,0.413056106,11.22964508,3.672477926
1.306,0.166,4.00842,8.70379,1182.28,0.59454,0.494950924,16.28970358,0.088131213
1.241,0.225,10.24762,12.80773,4298.42,0.819,1.744356931,7.303953339,-0.414539773
1.241,0.225,3.94171,4.84924,331.977,0.50006,0.279824291,20.8327259,-0.414539908
0.75,0.29,17.84292,22.33813,5709.82,0.90606,3.988782841,5.218734296,4.044725021
1.241,0.225,11.64882,13.32474,3042.74,0.8293,1.399905806,7.022391439,-0.414539775
0.965,0.314,4.01359,7.05896,1685.87,0.59102,0.60096782,16.0680753,4.093743564
0.965,0.314,13.47142,16.6863,5931.78,0.87148,3.218370429,6.304215194,4.083928241
1.306,0.166,5.53694,6.12679,1044.23,0.54708,0.438003891,15.74987281,0.088135411
0.965,0.314,9.94722,15.84076,4500.79,0.83676,1.961780035,7.089689342,4.087888662
1.241,0.225,9.31748,11.7468,4208.37,0.8079,1.560966373,7.605595465,-0.414539721
1.44,0.2104,8.44595,9.12886,1014.72,0.56214,0.56108516,12.66844603,0.991214168
1.33,0.104,22.12165,24.86643,5628.31,0.91014,3.935059882,4.548646689,1.32219294
0.965,0.314,6.94584,13.21867,2350.27,0.72736,0.867052574,8.928931861,4.082295708
1.241,0.225,13.58573,17.14941,5799.89,0.8834,3.294903976,5.708991194,-0.414539713
1.418,0.152,7.9598,15.04191,3715.38,0.81252,1.368240427,7.566707358,0.118097107
1.22,0.25,8.85075,13.16883,4741.63,0.82976,1.900630138,6.407049744,3.668887793
1.33,0.104,4.69116,7.31017,1496.68,0.58784,0.552086855,15.55905297,1.322199964
0.75,0.29,12.26884,16.72766,7259.33,0.9012,4.132011628,4.469413651,4.044315554
1.418,0.152,26.41648,28.4355,4378.07,0.90444,3.514804351,5.229131093,0.11809783
1.44,0.2104,10.11076,17.08221,4432.01,0.84248,1.986287805,6.946483044,0.991212599
1.33,0.104,5.56143,7.09926,2952.44,0.71716,0.888264641,12.50901546,1.322193401
1.44,0.2104,7.75151,19.92035,4661.65,0.8176,1.964685641,8.157649508,0.991215687
1.306,0.166,10.05377,14.72674,4358.19,0.81866,1.830221708,8.486124516,0.088134606
1.418,0.152,7.11431,9.68437,3067.9,0.723,1.041939882,11.51024171,0.118097046
1.22,0.25,12.10423,18.23146,2275.9,0.74336,0.971094218,11.02686554,3.666137048
0.75,0.29,22.93599,26.87343,6205.56,0.92794,5.653069181,4.3155647,4.045871204
1.241,0.225,5.08562,5.50168,911.011,0.53136,0.491881584,20.75257218,-0.414539527
0.75,0.29,6.45256,11.33831,1958.64,0.6753,0.781570084,13.38490448,4.03770493
1.33,0.104,5.67843,8.6384,1190.82,0.62544,0.460041338,12.57823702,1.322199601
1.09,0.26,5.13969,7.47721,1463.66,0.58642,0.633790106,16.84198855,2.339811778
1.306,0.166,6.75464,6.9686,1918.86,0.6558,0.67550029,20.48695083,0.088134957
1.306,0.166,17.33022,19.04114,3237.79,0.81136,1.627984903,7.190658918,0.088133599
1.241,0.225,24.97086,29.63427,5371.51,0.91244,4.194027312,4.815895153,-0.414539657
1.306,0.166,22.00272,24.18512,5956.84,0.92148,4.719826262,3.996178382,0.088134901
1.33,0.104,19.51722,21.97426,6383.55,0.912,4.016099627,3.850919273,1.322199852
1.418,0.152,14.51288,19.91003,5294.15,0.8929,3.163888653,4.871237044,0.118097633
1.09,0.26,9.3251,10.58683,2895.04,0.71594,1.10441448,10.39685678,2.339656443
1.44,0.2104,5.75367,7.28997,381.331,0.46264,0.350827703,14.52302187,0.991187727
1.306,0.166,4.93119,10.25301,2070.74,0.68658,0.759637364,14.40820812,0.088130524
0.75,0.29,9.98891,13.96786,4182.48,0.78338,1.528704432,9.037508667,4.041776609
0.75,0.29,5.24682,16.38928,2792.84,0.709,0.98803213,15.56746772,4.046394557
1.33,0.104,15.27053,25.89619,3232.11,0.8083,1.721681083,10.14652289,1.322173018
1.09,0.26,3.81576,4.39347,284.731,0.42546,0.240477496,21.67419676,2.339578785
1.33,0.104,3.80398,7.0591,663.374,0.49546,0.376827246,19.37381006,1.32217117
1.44,0.2104,13.23659,15.24576,3764.9,0.81968,1.726609006,8.84612046,0.991211055
1.44,0.2104,7.3369,11.81286,3189.13,0.76016,1.097203298,9.29875414,0.991212529
1.418,0.152,6.11183,9.64899,2949.59,0.7033,0.979598773,15.30372984,0.118097983
1.22,0.25,12.71764,24.89417,3783.91,0.84366,1.965872311,6.786829679,3.666143899
1.306,0.166,8.93091,12.2889,4901.67,0.82198,1.944893348,7.125912433,0.08813461
1.44,0.2104,5.88445,9.14666,1441.13,0.58864,0.634728938,15.79251664,0.991223288
1.22,0.25,5.22933,16.34087,2797.87,0.70994,0.987473329,15.6194953,3.670555417
1.306,0.166,20.70132,21.44594,3227.87,0.83224,2.162448683,10.6911364,0.088134759
1.09,0.26,11.18033,13.68367,5276.17,0.8515,2.436881479,7.13916566,2.339645442
1.22,0.25,23.24884,32.52568,7594.97,0.94416,7.754589134,3.325163439,3.671302787
1.306,0.166,6.76595,7.36263,1209.18,0.62392,0.483895236,12.90024394,0.088135761
1.306,0.166,15.38393,19.03992,2864.82,0.83002,1.643002069,13.92344996,0.088134479
1.33,0.104,6.86873,8.97021,1512.08,0.65952,0.645803141,14.74179172,1.322164984
1.44,0.2104,4.75385,5.87158,1483.35,0.59392,0.562733319,17.80732779,0.991214246
1.418,0.152,34.16756,38.04426,4363.1,0.94396,6.269118633,4.451621564,0.118098646
