PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CH4,log_P_0(CH4),log_P(CH4)
9.65919,15.53135,1705.48,0.73432,0.735216,0.998781311,11.88558501,-8.965976031,5.094759458
4.72091,7.75357,1299.21,0.55784,1.06732,0.522654874,19.34587044,-8.900672076,5.354264871
8.28637,10.23635,3308.72,0.7734,0.717556,1.077825285,6.230867542,-8.935241071,5.363225728
7.89385,9.01955,3220.74,0.77522,0.713962,1.085800085,5.587440673,-8.87514114,5.375983973
5.82599,6.17717,4176.69,0.70416,0.749009,0.940122215,13.827204,-7.939398935,6.301404836
6.15688,9.97626,2854.51,0.73308,0.782835,0.936442545,12.66638005,-8.572242387,5.726854108
4.74798,5.61731,1045.48,0.54568,1.17978,0.462526912,16.53100954,-8.908715394,5.423763104
5.12647,14.73899,2592.56,0.71414,0.739806,0.965307121,11.58071618,-8.710980676,5.553145525
9.90606,13.79678,3776.02,0.8154,0.543859,1.49928566,8.611043261,-8.528889687,5.686723795
10.18096,11.98539,4102.78,0.77866,0.581652,1.338704242,12.45143065,-8.359574436,5.844978029
20.98793,21.72315,4580.18,0.89992,0.308304,2.918937153,5.751460168,-8.535876099,5.488340842
10.23686,21.31368,3650.11,0.78646,0.503862,1.560863887,12.95254286,-8.662894915,5.51254327
10.09364,21.10286,3623.14,0.78424,0.511736,1.53250895,13.21798721,-8.671952516,5.530002599
9.52705,21.88013,3907.44,0.79112,0.471575,1.677612257,12.22839881,-8.665639772,5.503479602
5.75458,7.36646,1405.71,0.59344,1.07595,0.551549793,13.35821745,-8.896912246,5.541160168
16.92881,18.61448,4498.68,0.83828,0.43749,1.916112368,8.358808668,-8.511101273,5.631044525
4.86094,6.48832,816.468,0.51428,1.33798,0.384370469,16.69527333,-8.366603462,5.730444899
4.74657,6.37536,775.425,0.5131,1.3786,0.372189177,17.40888664,-8.347986137,5.732674341
7.50799,8.31867,1042.15,0.5793,1.3283,0.436121358,14.02270116,-9.535776063,5.349161128
6.38588,6.55466,655.426,0.53696,1.38595,0.387431004,15.46364282,-8.862681864,5.241706297
5.70379,7.95789,1708.74,0.61892,1.02105,0.606160325,14.04203624,-8.78561941,5.782482959
7.16704,7.9618,973.163,0.56886,1.42154,0.400171645,14.25695953,-9.546903235,5.379293474
6.80286,8.39634,1923.66,0.64358,0.891254,0.722106156,18.33256521,-8.667574616,5.622080007
6.8904,8.30709,1894.26,0.64216,0.897695,0.715343184,18.48035761,-8.629567787,5.650970109
6.3971,8.11197,2096.97,0.65336,0.849879,0.76876826,17.40000813,-8.578516917,5.657727688
6.47185,8.33004,2086.19,0.65498,0.855248,0.765836342,17.38683477,-8.587887088,5.721330989
6.36998,8.09188,2057.4,0.65232,0.865187,0.753964172,17.52326225,-8.623082404,5.684650109
6.66,13.15,2177.31,0.72,0.89,0.808988764,18.36378815,-8.872609527,5.528143469
4.49353,7.07757,989.762,0.54344,1.32957,0.408733651,12.47862583,-9.037789743,5.485670856
5.10301,7.91374,1994.19,0.64696,0.900168,0.718710285,15.7932381,-8.692842142,5.590984536
4.28567,5.96735,1013,0.53236,1.1236,0.473798505,17.97446527,-8.398468805,5.666882961
5.02673,6.20221,2051.65,0.63816,0.856325,0.745231075,17.66287516,-8.024596308,6.064942354
5.27399,6.55516,1959.6,0.6337,0.85763,0.738896727,17.40241569,-8.0208515,6.065916598
5.24121,6.90751,1037.8,0.57342,1.23618,0.463864486,17.19733812,-8.696194746,5.651792668
4.21234,5.96594,260.353,0.4552,1.37246,0.331667225,21.88131905,-8.625970621,4.992797946
4.22597,5.76843,735.503,0.531,1.21128,0.438379235,22.07085839,-7.718422752,5.703619952
4.61744,7.01096,1015.75,0.59098,1.0069,0.586930182,18.47917849,-8.640232984,5.421621082
9.99848,15.52711,1685.96,0.74322,0.770284,0.964864907,12.66426339,-8.794049026,5.559408318
7.81351,8.36121,1307.06,0.60632,0.894084,0.678146572,15.58498498,-8.75228855,5.446915749
6.12785,12.37213,3656.28,0.76108,0.613909,1.239727712,15.69786465,-8.605672553,5.671583152
4.59373,4.92609,329.359,0.42358,1.2701,0.333501299,22.83039716,-7.636836892,5.678948321
6.48081,9.47252,1271.45,0.58954,1.142,0.516234676,14.11958687,-8.804630001,5.651607709
4.75385,5.87158,1483.35,0.59392,1.05542,0.562733319,17.80732779,-8.694841238,5.519034686
4.04185,5.27797,1042.87,0.59626,1.27879,0.466268895,15.22701917,-9.031157873,5.44156527
4.1432,4.67913,546.6,0.5207,1.68326,0.309340209,16.84636843,-8.899890415,5.619371675
4.18275,4.72751,582.465,0.52418,1.638,0.32001221,16.57379487,-8.859425768,5.554016971
4.73838,5.90111,3224.14,0.7112,0.853512,0.833263036,11.995694,-8.572551801,5.82543657
5.09371,10.84979,2242.39,0.73102,0.987627,0.740178225,9.989222416,-9.103315099,5.374062462
5.10475,10.83424,2220.75,0.7295,0.990811,0.736265544,10.04935355,-9.077827772,5.354632663
5.15775,10.83211,2228.38,0.73028,0.991313,0.736679535,10.05098154,-9.049104749,5.416563435
36.09316,38.39638,4256.39,0.86952,0.330751,2.628926292,8.788520666,-8.340046111,5.683444538
5.89987,7.33941,703.164,0.50038,1.15869,0.431849761,15.94571132,-8.70760231,5.628959954
5.43293,7.07895,551.249,0.45578,1.23597,0.368762996,17.16282985,-8.308355891,5.64531561
5.51917,6.9387,1279,0.56722,1.06823,0.530990517,19.15466901,-8.784913665,5.407588222
5.38791,7.02744,557.072,0.47072,1.22872,0.383097858,16.78472551,-8.621583867,5.513865649
5.70931,7.08217,593.246,0.4914,1.19421,0.411485417,16.89338995,-8.808637379,5.425026107
5.20998,6.82532,521.764,0.45816,1.26745,0.361481715,17.33296421,-8.609424918,5.465185267
5.43055,7.07901,578.494,0.47396,1.22579,0.386656768,16.65852213,-8.599325024,5.604429718
5.55881,7.01349,564.084,0.48404,1.21167,0.399481707,17.18255251,-8.85185741,5.42194404
8.55613,10.88811,2713.4,0.69748,0.702067,0.993466436,16.55405114,-8.64380716,5.532101739
8.62628,10.81747,2981.53,0.70756,0.682989,1.035975689,15.76169634,-8.489656722,5.686571441
5.51512,5.77667,548.02,0.464,1.43835,0.322591859,15.76705168,-8.415936522,5.687664477
5.83562,6.37209,886.13,0.51612,1.3312,0.387710337,14.08902702,-8.821495074,5.899357298
31.81617,33.37685,2501.76,0.83682,0.55548,1.506480881,11.44607683,-8.575646427,5.600815283
3.8396,6.40626,1013.26,0.59228,1.22785,0.482371625,19.08384601,-9.066914572,5.168380188
3.96851,4.621,1398.72,0.56826,0.918673,0.618566127,18.41507386,-8.678859939,5.544385579
4.99124,7.04652,1034.51,0.53774,1.10591,0.486242099,17.13043339,-8.752456468,5.740054233
5.95944,6.92785,1516.95,0.59038,0.95198,0.620160087,18.10214024,-8.463490796,5.447604814
4.08235,8.5781,1113.76,0.59616,1.22102,0.488247531,16.35019874,-9.646152597,4.810723027
7.22422,12.70758,2296.11,0.73656,0.840959,0.875857206,10.21721784,-8.840386123,5.528224462
