PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst N2,N1bar_N2
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,0,1.639344262,16.07474013,0.459534244
3.78436,4.74814,286.858,0.4586,1.30283,0.352002947,41.22137405,38.16793893,9.160305344,9.160305344,0,2.290076336,18.52786486,0.451629917
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,51.76470588,37.64705882,4.705882353,0,0.588235294,2.941176471,10.03410927,0.367724368
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,42.10526316,5.263157895,0,26.31578947,21.05263158,5.263157895,11.91152802,0.300680562
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,0,4.516129032,14.77665987,0.154146457
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,10.15614032,0.427989068
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,9.464885801,0.389421695
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,53.84615385,26.92307692,0,15.38461538,0,3.846153846,7.841412467,0.368638557
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,53.7037037,24.07407407,0,18.51851852,0,3.703703704,9.159294544,0.449713058
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,51.61290323,19.35483871,0,25.80645161,0,3.225806452,13.6163551,0.542528036
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,19.19030474,0.531414711
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,0,2.325581395,15.13601797,0.503686184
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,0,3.448275862,15.33427612,0.282298535
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,47.61904762,9.523809524,0,38.0952381,0,4.761904762,10.98634656,0.34752234
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,47.61904762,9.523809524,0,38.0952381,0,4.761904762,11.13990855,0.363916495
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,0,2.222222222,9.826936844,0.370368723
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,34.50980392,28.23529412,31.37254902,0,1.176470588,4.705882353,10.69244018,0.42160965
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,9.288986745,0.20697538
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,44.44444444,11.11111111,0,33.33333333,0,11.11111111,9.242159804,0.22356666
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,44.44444444,11.11111111,0,33.33333333,0,11.11111111,9.320363431,0.228735672
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,9.251930618,0.206361703
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,44.44444444,11.11111111,0,33.33333333,0,11.11111111,9.21561185,0.216395811
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,0,5.769230769,10.88096208,0.33756308
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,17.74145984,1.169039974
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,18.43912134,1.167295106
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,17.80511615,1.150760394
4.30595,6.18036,1065.24,0.58002,1.16997,0.495756301,46.47887324,33.8028169,0,16.90140845,0,2.816901408,14.95455726,0.693797383
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,46.47887324,33.8028169,0,16.90140845,0,2.816901408,10.23178396,0.346532213
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,43.47826087,8.695652174,0,39.13043478,0,8.695652174,12.52966017,0.20024672
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,45.45454545,25,4.545454545,20.45454545,0,4.545454545,13.06310985,0.26909334
3.6686,4.13262,208.084,0.50456,1.75655,0.287244883,41.86046512,13.95348837,18.60465116,18.60465116,0,6.976744186,13.61270584,0.081908068
3.66327,4.14952,200.263,0.5075,1.74866,0.290222227,41.86046512,13.95348837,18.60465116,18.60465116,0,6.976744186,13.57710763,0.083598309
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,0,1.754385965,10.34720447,0.394299391
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,43.90243902,29.26829268,0,19.51219512,0,4.87804878,12.12197822,0.528100752
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,0,2.127659574,10.97960501,0.391859932
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,50.66666667,30.66666667,8,8,0,2.666666667,13.36203841,0.284176661
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,45.45454545,9.090909091,0,36.36363636,0,9.090909091,10.33475359,0.308233423
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,50,22.72727273,2.272727273,18.18181818,2.272727273,4.545454545,10.25314372,0.412817162
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,10.53516094,0.422276321
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,55.94405594,30.76923077,0,11.18881119,0,2.097902098,10.28861339,0.510664916
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,55.94405594,30.76923077,0,11.18881119,0,2.097902098,10.79809637,0.543092234
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,55.94405594,30.76923077,0,11.18881119,0,2.097902098,8.961198823,0.408309592
3.88543,4.88713,381.56,0.4621,1.64828,0.280352853,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.91005645,0.109927224
3.95303,4.75824,381.422,0.4557,1.66268,0.274075589,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.88884047,0.110340775
4.01813,5.12784,475.366,0.48134,1.59271,0.302214465,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.26213376,0.119881503
4.03284,5.13844,481.538,0.48386,1.58929,0.304450415,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.2113225,0.118247738
3.79229,4.92972,350.543,0.45268,1.6758,0.2701277,22.22222222,22.22222222,0,44.44444444,0,11.11111111,13.18741039,0.108037984
3.97372,5.2478,473.694,0.47784,1.59515,0.299558035,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.23069108,0.114086683
3.91943,4.9438,421.057,0.46968,1.60993,0.291739392,22.22222222,22.22222222,0,44.44444444,0,11.11111111,12.29675924,0.10529801
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,50.74626866,17.91044776,0,26.86567164,0,4.47761194,16.00638456,0.404674617
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,47.16981132,32.0754717,9.433962264,9.433962264,0,1.886792453,13.02490791,0.436589168
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,44.44444444,22.22222222,0,27.77777778,0,5.555555556,13.6377037,0.431334562
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,9.366015891,0.314914598
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,9.171464208,0.306048104
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,41.17647059,29.41176471,5.882352941,17.64705882,0,5.882352941,17.72439371,0.388430967
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,54,26,2,16,0,2,7.441676436,0.400229924
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,47.22222222,33.33333333,16.66666667,0,0,2.777777778,15.77701022,0.267450726
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,47.22222222,33.33333333,16.66666667,0,0,2.777777778,15.91417747,0.300088637
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,47.22222222,33.33333333,16.66666667,0,0,2.777777778,15.86393029,0.23488057
19.54,37.53,6207.17,0.93,0.16,5.8125,54.54545455,33.56643357,1.398601399,8.391608392,0,2.097902098,3.2261066,0.440237528
3.64311,5.44587,266.702,0.5475,1.30707,0.418875806,44.44444444,29.62962963,7.407407407,14.81481481,0,3.703703704,16.75357543,0.70985179
3.91316,4.51878,251.96,0.47356,1.20992,0.391397778,50,36.20689655,3.448275862,8.620689655,0,1.724137931,17.33561609,0.309612585
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,11.48103689,0.357521778
