PLD,LCD,ASA,Porosity,Density,Pore volume,Qst H2,log_P_0(H2),log_P(H2)
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,4.278226651,-9.15068144,5.411653722
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,4.36969055,-9.123451397,5.173617868
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,3.223546838,-9.172878715,5.325037768
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,2.951098063,-8.582056385,5.847354558
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,4.995671028,-9.447092706,5.083131324
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,2.443345687,-8.805431076,5.405545512
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,5.317850906,-9.470689905,5.171576565
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,1.629023721,-8.245295338,5.750018701
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,3.541938545,-8.897885254,5.38436665
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,8.052717823,-8.114357863,6.382390111
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,3.794698486,-10.0749747,4.738081851
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,5.146750103,-9.744245533,4.825219786
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,3.245856544,-9.269896539,5.107167563
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,3.350850518,-8.941354815,5.280389248
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,2.945488351,-9.124338972,5.117194969
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,2.932998949,-9.045446858,5.264570143
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,3.252025323,-9.018491349,5.429389744
10.2098,10.32563,921.145,0.6122,1.16569,0.52518251,3.101541409,-8.94062907,5.569891337
9.78954,9.9082,1055.67,0.6064,1.03173,0.587750671,2.937271375,-9.120693127,5.328771588
9.63706,9.77409,1141.74,0.59722,0.990438,0.60298575,3.738614402,-8.958768513,5.541795097
9.89092,10.03622,1208.74,0.6104,0.960732,0.63534888,3.733813114,-8.970598618,5.417820368
5.16047,6.75364,2935.51,0.6548,0.798706,0.819826069,4.625824882,-8.817410885,5.521886098
5.02845,6.64209,2823.58,0.65108,0.808218,0.805574734,4.722016307,-8.839077542,5.590189596
5.44633,7.19383,3056.13,0.67,0.766283,0.874350599,4.33911658,-8.80734426,5.542134443
5.16957,6.75186,2939.45,0.65506,0.798706,0.820151595,4.623888542,-8.799381236,5.56220028
6.03558,10.21454,2563.33,0.68238,0.764371,0.892734026,3.695054413,-9.055285409,5.339807831
5.96794,8.00306,3061.76,0.68974,0.730038,0.944800134,3.829505895,-8.86573986,5.482737687
7.20236,7.55271,545.57,0.44976,1.44288,0.311709914,4.574188088,-9.432035498,5.081722908
10.44621,10.53908,645.574,0.5418,1.07568,0.503681392,3.489274263,-9.160471845,5.290491969
4.09504,5.33845,174.546,0.60088,1.50799,0.398464181,5.687399642,-9.909845337,4.699968486
9.65919,15.53135,1705.48,0.73432,0.735216,0.998781311,2.698118742,-8.989020067,5.573038275
4.72091,7.75357,1299.21,0.55784,1.06732,0.522654874,4.873054386,-9.38257758,5.110344149
8.28637,10.23635,3308.72,0.7734,0.717556,1.077825285,1.654933173,-8.802541056,5.523929351
7.89385,9.01955,3220.74,0.77522,0.713962,1.085800085,1.594313075,-8.834824018,5.493426795
5.82599,6.17717,4176.69,0.70416,0.749009,0.940122215,3.87893624,-8.582516469,5.633093278
6.15688,9.97626,2854.51,0.73308,0.782835,0.936442545,3.215097908,-8.939166096,5.482823166
4.74798,5.61731,1045.48,0.54568,1.17978,0.462526912,4.631630305,-9.778909776,4.83941417
5.12647,14.73899,2592.56,0.71414,0.739806,0.965307121,3.198445342,-9.172198002,5.063350364
9.90606,13.79678,3776.02,0.8154,0.543859,1.49928566,2.222439852,-8.555800537,5.764217261
10.18096,11.98539,4102.78,0.77866,0.581652,1.338704242,2.944852011,-8.662653222,5.629954857
20.98793,21.72315,4580.18,0.89992,0.308304,2.918937153,1.00941549,-8.044568778,5.908865607
10.23686,21.31368,3650.11,0.78646,0.503862,1.560863887,2.627743284,-8.596690985,5.684741384
10.09364,21.10286,3623.14,0.78424,0.511736,1.53250895,2.676744117,-8.625965573,5.626664391
9.52705,21.88013,3907.44,0.79112,0.471575,1.677612257,2.439967428,-8.550359356,5.548109974
5.75458,7.36646,1405.71,0.59344,1.07595,0.551549793,3.656592584,-9.410580007,5.111172933
16.92881,18.61448,4498.68,0.83828,0.43749,1.916112368,1.831647778,-8.404324148,5.801251112
4.86094,6.48832,816.468,0.51428,1.33798,0.384370469,4.764575356,-9.495246373,5.072618038
4.74657,6.37536,775.425,0.5131,1.3786,0.372189177,4.949077095,-9.552152265,5.05769156
7.50799,8.31867,1042.15,0.5793,1.3283,0.436121358,3.639737668,-9.438807225,5.056623658
6.38588,6.55466,655.426,0.53696,1.38595,0.387431004,4.329842495,-9.568043903,5.111545011
5.70379,7.95789,1708.74,0.61892,1.02105,0.606160325,3.614278431,-9.070002744,5.570832731
7.16704,7.9618,973.163,0.56886,1.42154,0.400171645,3.745899795,-9.525096515,5.068293648
6.80286,8.39634,1923.66,0.64358,0.891254,0.722106156,4.166560509,-9.193600451,5.288846656
6.8904,8.30709,1894.26,0.64216,0.897695,0.715343184,4.183233935,-9.196171432,5.255506808
6.3971,8.11197,2096.97,0.65336,0.849879,0.76876826,4.180739529,-9.135545464,5.32076548
6.47185,8.33004,2086.19,0.65498,0.855248,0.765836342,4.187899263,-9.094864778,5.279985079
6.36998,8.09188,2057.4,0.65232,0.865187,0.753964172,4.23405464,-9.131858689,5.353752673
6.66,13.15,2177.31,0.72,0.89,0.808988764,3.361554178,-9.052990096,5.324096096
4.49353,7.07757,989.762,0.54344,1.32957,0.408733651,3.639214976,-9.5964196,4.863038133
5.10301,7.91374,1994.19,0.64696,0.900168,0.718710285,4.224693249,-9.278274548,5.126771439
4.28567,5.96735,1013,0.53236,1.1236,0.473798505,5.262241683,-9.438798675,5.084277678
5.02673,6.20221,2051.65,0.63816,0.856325,0.745231075,4.900187805,-9.11395783,5.261346768
5.27399,6.55516,1959.6,0.6337,0.85763,0.738896727,4.860527888,-8.89198739,5.511519651
5.24121,6.90751,1037.8,0.57342,1.23618,0.463864486,4.781607712,-9.41470203,5.190278362
4.21234,5.96594,260.353,0.4552,1.37246,0.331667225,6.063100373,-9.729216974,4.936861857
4.22597,5.76843,735.503,0.531,1.21128,0.438379235,6.347433655,-9.145663137,5.331752153
4.61744,7.01096,1015.75,0.59098,1.0069,0.586930182,4.958240601,-9.528025843,5.021604474
9.99848,15.52711,1685.96,0.74322,0.770284,0.964864907,2.778614664,-8.829708413,5.629700265
7.81351,8.36121,1307.06,0.60632,0.894084,0.678146572,4.315541791,-9.236313513,5.162448071
6.12785,12.37213,3656.28,0.76108,0.613909,1.239727712,3.049511672,-8.709512856,5.433792403
4.59373,4.92609,329.359,0.42358,1.2701,0.333501299,6.421801901,-9.42236962,5.110932519
6.48081,9.47252,1271.45,0.58954,1.142,0.516234676,3.390413132,-9.302053287,5.214446502
4.75385,5.87158,1483.35,0.59392,1.05542,0.562733319,4.985430411,-9.402174136,5.062327284
4.04185,5.27797,1042.87,0.59626,1.27879,0.466268895,4.497381165,-9.587947568,5.015454933
4.1432,4.67913,546.6,0.5207,1.68326,0.309340209,4.763559427,-9.604803431,5.370947376
4.18275,4.72751,582.465,0.52418,1.638,0.32001221,4.694760301,-9.570320925,4.978306194
4.73838,5.90111,3224.14,0.7112,0.853512,0.833263036,3.489102115,-9.080240597,5.3920989
5.09371,10.84979,2242.39,0.73102,0.987627,0.740178225,2.877328784,-9.326821178,5.100360153
5.10475,10.83424,2220.75,0.7295,0.990811,0.736265544,2.891309686,-9.330666684,5.119859767
5.15775,10.83211,2228.38,0.73028,0.991313,0.736679535,2.892141909,-9.293850604,5.023819903
36.09316,38.39638,4256.39,0.86952,0.330751,2.628926292,1.556148374,-8.032061943,5.9359553
5.89987,7.33941,703.164,0.50038,1.15869,0.431849761,4.405196808,-9.486136318,4.901523593
5.43293,7.07895,551.249,0.45578,1.23597,0.368762996,5.068456762,-9.361302074,5.28577593
5.51917,6.9387,1279,0.56722,1.06823,0.530990517,4.834173184,-9.415336394,4.943127739
5.38791,7.02744,557.072,0.47072,1.22872,0.383097858,4.715746874,-9.604944745,4.911842502
5.70931,7.08217,593.246,0.4914,1.19421,0.411485417,4.927834949,-9.630928855,4.728532781
5.20998,6.82532,521.764,0.45816,1.26745,0.361481715,4.904378689,-9.67548303,5.175753508
5.43055,7.07901,578.494,0.47396,1.22579,0.386656768,4.700064822,-9.550646134,5.082846315
5.55881,7.01349,564.084,0.48404,1.21167,0.399481707,5.045993156,-9.687977593,4.957194413
8.55613,10.88811,2713.4,0.69748,0.702067,0.993466436,4.105305058,-9.063049285,5.193137621
8.62628,10.81747,2981.53,0.70756,0.682989,1.035975689,3.918227483,-8.994742345,5.364602324
5.51512,5.77667,548.02,0.464,1.43835,0.322591859,4.577032815,-9.462162586,5.241492073
5.83562,6.37209,886.13,0.51612,1.3312,0.387710337,4.025314584,-9.135647366,5.268598133
31.81617,33.37685,2501.76,0.83682,0.55548,1.506480881,1.931778139,-8.37573482,5.777375249
3.8396,6.40626,1013.26,0.59228,1.22785,0.482371625,5.429940711,-9.662060542,4.872749099
3.96851,4.621,1398.72,0.56826,0.918673,0.618566127,5.504620054,-9.349523532,4.983474356
4.99124,7.04652,1034.51,0.53774,1.10591,0.486242099,4.857162671,-9.336968652,5.159516074
5.95944,6.92785,1516.95,0.59038,0.95198,0.620160087,4.613134174,-9.283555934,5.088465932
4.08235,8.5781,1113.76,0.59616,1.22102,0.488247531,4.517676498,-9.772819127,4.837681193
7.22422,12.70758,2296.11,0.73656,0.840959,0.875857206,2.610498471,-8.988597468,5.508550512
