PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CH4,N1bar_CH4,log_D0_CH4,log_D1bar_CH4
4.74657,6.37536,1.343150949,775.425,0.5131,0.372189177,17.40888664,1.254943322,-3.629635265,-3.980732333
7.50799,8.31867,1.107975637,1042.15,0.5793,0.436121358,14.02270116,0.482357109,-4.240937326,-3.932848016
6.38588,6.55466,1.026430187,655.426,0.53696,0.387431004,15.46364282,0.657373843,-3.798662967,-4.193197972
5.70379,7.95789,1.395193371,1708.74,0.61892,0.606160325,14.04203624,0.894591993,-3.816117933,-3.653533345
7.16704,7.9618,1.110890968,973.163,0.56886,0.400171645,14.25695953,0.476309316,-4.253297522,-3.926698974
6.80286,8.39634,1.234236777,1923.66,0.64358,0.722106156,18.33256521,1.577315238,-4.041593027,-4.001184272
6.8904,8.30709,1.205603448,1894.26,0.64216,0.715343184,18.48035761,1.591216091,-4.008189138,-3.979232146
6.3971,8.11197,1.268069907,2096.97,0.65336,0.76876826,17.40000813,1.727577451,-3.940301397,-3.984411225
6.47185,8.33004,1.28711883,2086.19,0.65498,0.765836342,17.38683477,1.753844253,-3.949342933,-3.93009639
6.36998,8.09188,1.27031482,2057.4,0.65232,0.753964172,17.52326225,1.749539524,-3.990959911,-3.970727922
6.66,13.15,1.974474474,2177.31,0.72,0.808988764,18.36378815,0.966856369,-4.115429133,-3.881410258
4.49353,7.07757,1.575057917,989.762,0.54344,0.408733651,12.47862583,0.480016758,-3.765861751,-3.794641038
5.10301,7.91374,1.55079845,1994.19,0.64696,0.718710285,15.7932381,1.485326787,-3.966074976,-4.010505335
