PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CO2,N1bar_CO2
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,45.45454545,25,4.545454545,20.45454545,0,4.545454545,21.73774584,2.298937087
3.6686,4.13262,208.084,0.50456,1.75655,0.287244883,41.86046512,13.95348837,18.60465116,18.60465116,0,6.976744186,27.94830975,1.852022874
3.66327,4.14952,200.263,0.5075,1.74866,0.290222227,41.86046512,13.95348837,18.60465116,18.60465116,0,6.976744186,27.93456984,1.872859914
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,0,1.754385965,19.61480238,3.022511204
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,43.90243902,29.26829268,0,19.51219512,0,4.87804878,22.84900076,7.558887351
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,0,2.127659574,21.3072881,3.436485352
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,50.66666667,30.66666667,8,8,0,2.666666667,25.58212455,3.04426101
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,45.45454545,9.090909091,0,36.36363636,0,9.090909091,18.08773694,3.397506429
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,50,22.72727273,2.272727273,18.18181818,2.272727273,4.545454545,19.22195903,3.763773555
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,20.38551552,5.988144745
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,55.94405594,30.76923077,0,11.18881119,0,2.097902098,21.69799952,6.516830662
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,55.94405594,30.76923077,0,11.18881119,0,2.097902098,25.35800555,7.379178349
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,55.94405594,30.76923077,0,11.18881119,0,2.097902098,23.13071794,5.466235871
3.88543,4.88713,381.56,0.4621,1.64828,0.280352853,22.22222222,22.22222222,0,44.44444444,0,11.11111111,21.23021768,0.886766544
3.95303,4.75824,381.422,0.4557,1.66268,0.274075589,22.22222222,22.22222222,0,44.44444444,0,11.11111111,21.40049403,0.9242071
4.01813,5.12784,475.366,0.48134,1.59271,0.302214465,22.22222222,22.22222222,0,44.44444444,0,11.11111111,20.43594708,0.959056496
4.03284,5.13844,481.538,0.48386,1.58929,0.304450415,22.22222222,22.22222222,0,44.44444444,0,11.11111111,20.38698476,0.956100008
3.79229,4.92972,350.543,0.45268,1.6758,0.2701277,22.22222222,22.22222222,0,44.44444444,0,11.11111111,21.46817905,0.856212327
3.97372,5.2478,473.694,0.47784,1.59515,0.299558035,22.22222222,22.22222222,0,44.44444444,0,11.11111111,20.03255027,0.850685117
3.91943,4.9438,421.057,0.46968,1.60993,0.291739392,22.22222222,22.22222222,0,44.44444444,0,11.11111111,20.02432374,0.780981214
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,50.74626866,17.91044776,0,26.86567164,0,4.47761194,26.06289622,3.022713941
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,47.16981132,32.0754717,9.433962264,9.433962264,0,1.886792453,21.82952171,3.864537852
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,44.44444444,22.22222222,0,27.77777778,0,5.555555556,25.21239339,2.461661818
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,17.82928194,3.114610625
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,17.4144678,3.058778001
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,41.17647059,29.41176471,5.882352941,17.64705882,0,5.882352941,28.01941684,1.457346254
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,54,26,2,16,0,2,13.38736122,2.221327882
