PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
20.86,26.3,7613.51,0.941,5.42E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.54
19.194,28.217,7525.48,0.94,5.37E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.527
20.507,26.554,7389.26,0.937,5.29E-06,62.5,30,7.5,0,0,0,0.524
20.151,25.879,7431.38,0.937,5.26E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.524
20.672,25.014,7332.2,0.934,5.14E-06,62.5,30,7.5,0,0,0,0.51
18.546,27.708,7193.31,0.933,5.14E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.508
19.906,25.392,7201.83,0.932,5.12E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.511
18.177,18.376,6662.03,0.894,3.91E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.39
15.612,16.303,6029.87,0.888,3.42E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.34
17.918,18.295,5877.22,0.887,3.47E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.347
15.678,16.421,5297.83,0.88,3.13E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.311
