PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
10.333,14.637,5450.44,0.866,1.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.137
12.274,17.441,6022.77,0.88,1.66E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.165
10.58,17.029,5394.55,0.866,1.40E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.141
12.122,17.832,5541.44,0.872,1.43E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.142
11.126,17.022,5020.57,0.862,1.25E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.124
18.491,27.101,7855.52,0.941,3.82E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.381
19.632,28.306,7634.54,0.941,3.75E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.379
18.237,28.057,7553.85,0.938,3.54E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.356
19.037,28.414,7415.17,0.937,3.45E-06,62.5,30,7.5,0,0,0,0.344
17.763,26.988,7571.33,0.937,3.46E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.349
15.508,27.76,7413.7,0.929,3.07E-06,62.5,30,7.5,0,0,0,0.306
17.58,26.029,7279.86,0.932,3.24E-06,62.5,30,7.5,0,0,0,0.325
18.12,26.518,7162.66,0.932,3.16E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.314
34.115,50.181,6924.62,0.961,5.19E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.52
21.265,28.251,6477.28,0.928,2.73E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.273
19.949,28.285,5363.61,0.92,2.12E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.21
20.11,28.77,6437.51,0.926,2.66E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.265
20.97,28.503,4983.02,0.918,1.98E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.198
34.716,46.52,7975.16,0.966,6.36E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.631
32.71,45.067,7359.79,0.96,5.21E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.521
34.138,46.275,7809.81,0.965,6.04E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.601
8.697,16.439,5618.68,0.844,1.16E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.117
8.949,16.56,6119.57,0.842,1.42E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.14
8.469,15.111,5258.04,0.836,1.07E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.107
16.295,27.924,7909.77,0.929,3.22E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.324
15.388,29.075,7145.18,0.916,2.67E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.268
16.952,24.876,7817.32,0.928,3.14E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.313
31.325,45.068,7588.71,0.97,6.56E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.657
9.422,14.922,4865.45,0.801,1.28E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.129
9.91,15.602,5163.49,0.817,1.35E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.137
11.042,16.084,6834.39,0.878,1.86E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.185
12.341,16.549,6319.93,0.881,1.77E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.177
11.429,17.033,5952.14,0.877,1.64E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.162
11.571,16.185,5635.2,0.874,1.53E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.153
12.918,15.473,6149,0.879,1.64E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.162
11.864,15.251,5810.15,0.871,1.48E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.146
