PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCH4 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CH4-1 bar (mol/kg)
21.475,26.403,7773.37,0.943,7.35E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.737
19.661,27.796,7639.83,0.943,7.40E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.731
21.074,26.74,7545.16,0.939,7.40E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.744
20.253,26.014,7628.25,0.939,7.25E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.725
20.738,25.01,7446.36,0.936,7.23E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.724
18.701,25.643,7320.83,0.934,7.24E-06,62.5,30,7.5,0,0,0,0.728
18.855,26.084,7262.46,0.933,7.42E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.749
20.096,27.172,7765.24,0.943,7.29E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.727
20.86,26.3,7613.51,0.941,7.32E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.733
19.194,28.217,7525.48,0.94,7.38E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.741
20.507,26.554,7389.26,0.937,7.40E-06,62.5,30,7.5,0,0,0,0.732
20.151,25.879,7431.38,0.937,7.25E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.715
20.672,25.014,7332.2,0.934,7.23E-06,62.5,30,7.5,0,0,0,0.723
18.546,27.708,7193.31,0.933,7.33E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.733
19.906,25.392,7201.83,0.932,7.42E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.741
18.177,18.376,6662.03,0.894,5.99E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.59
15.612,16.303,6029.87,0.888,5.23E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.524
17.918,18.295,5877.22,0.887,5.33E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.535
15.678,16.421,5297.83,0.88,4.86E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.488
